0,2595,1780,320,436,-4,12,-1,-1,0,-1,-1,0,0
2,2413,1144,2024,1507,1,0,-1,-1,0,-1,-1,0,0
3,2794,844,285,1958,2,3,-1,-1,0,-1,-1,0,0
4,2706,2160,308,88,8,0,-1,-1,0,-1,-1,0,0
7,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
8,2038696191,2000,202,1204,0,0,-1,-1,0,-1,-1,0,0
9,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
12,2038302464,2066,205,1915,0,0,-1,-1,0,-1,-1,0,0
13,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
14,4877,1730,4,1976,4,-3,-1,-1,0,-1,-1,0,0
15,2443,670,440,1932,-3,10,-1,-1,0,-1,-1,0,0
16,2433,490,152,1208,0,-2,-1,-1,0,-1,-1,0,0
17,2536,830,1132,776,2,0,-1,-1,0,-1,-1,0,0
18,2476,700,428,692,4,10,-1,-1,0,-1,-1,0,0
19,2623,670,116,2044,0,0,-1,-1,0,-1,-1,0,0
20,2351,2000,292,2040,0,0,-1,-1,0,-1,-1,0,0
21,2351,2000,292,2040,0,0,-1,-1,0,-1,-1,0,0
22,2351,2000,292,2040,0,0,-1,-1,0,-1,-1,0,0
23,2351,2000,292,2040,0,0,-1,-1,0,-1,-1,0,0
24,2714,900,68,1828,0,0,-1,-1,0,-1,-1,0,0
25,2519,990,340,188,9,9,-1,-1,0,-1,-1,0,0
26,14343,1190,210,1931,-5,-11,-1,-1,0,-1,-1,0,0
27,14342,1360,498,1881,-4,1,-1,-1,0,-1,-1,0,0
28,2684,1430,124,1836,0,-6,-1,-1,0,-1,-1,0,0
29,2742,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
30,2504,1020,204,1660,0,-18,-1,-1,0,-1,-1,0,0
31,2742,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
32,2575,570,168,1864,0,-2,-1,-1,0,-1,-1,0,0
33,2575,570,168,1864,0,-2,-1,-1,0,-1,-1,0,0
34,2575,570,168,1864,0,-2,-1,-1,0,-1,-1,0,0
35,2458,1500,384,932,6,17,501,-1,0,501,-1,0,0
36,2467,570,168,1864,0,-2,-1,-1,0,-1,-1,0,0
37,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
38,2467,570,168,1864,0,-2,-1,-1,0,-1,-1,0,0
45,16857,428,453,66,1,0,-1,-1,0,-1,-1,0,0
46,16857,428,453,66,1,0,-1,-1,0,-1,-1,0,0
47,2445,724,492,332,1,1,-1,-1,0,-1,-1,0,0
49,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
50,2435,1200,508,124,7,2,26610,-1,0,26610,-1,0,0
51,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
52,9032,1220,216,100,6,-29,-1,-1,0,-1,-1,0,0
53,9028,1220,216,100,6,-29,-1,-1,0,-1,-1,0,0
54,2435,1200,508,124,7,2,26610,-1,0,26610,-1,0,0
55,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
57,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
59,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
60,2435,1200,508,124,7,2,26610,-1,0,26610,-1,0,0
61,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
63,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
64,2435,1200,508,124,7,2,26610,-1,0,26610,-1,0,0
65,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
67,0,2000,0,0,0,0,-1,-1,0,-1,-1,0,0
68,2435,1200,508,124,7,2,26610,-1,0,26610,-1,0,0
